,Lugs_num,Year_cat,Row_num,Group_num
0,5.0,1983,1,1
1,10.0,1983,2,1
2,11.0,1983,3,1
3,11.25,1983,4,1
4,11.0,1983,5,2
5,11.0,1983,6,2
6,9.0,1983,7,2
7,9.0,1983,8,2
8,9.0,1983,9,3
9,9.0,1983,10,3
10,6.0,1983,11,3
11,7.0,1983,12,3
12,5.0,1983,13,4
13,7.0,1983,14,4
14,10.0,1983,15,4
15,13.0,1983,16,4
16,5.5,1983,17,5
17,10.5,1983,18,5
18,9.0,1983,19,5
19,6.0,1983,20,5
20,8.0,1983,21,6
21,15.0,1983,22,6
22,13.0,1983,23,6
23,14.0,1983,24,6
24,15.0,1983,25,7
25,14.5,1983,26,7
26,14.0,1983,27,7
27,14.0,1983,28,7
28,15.0,1983,29,8
29,16.0,1983,30,8
30,13.0,1983,31,8
31,12.0,1983,32,8
32,9.0,1983,33,9
33,11.5,1983,34,9
34,9.5,1983,35,9
35,12.0,1983,36,9
36,13.0,1983,37,10
37,13.5,1983,38,10
38,15.0,1983,39,10
39,15.5,1983,40,10
40,14.0,1983,41,11
41,14.0,1983,42,11
42,10.0,1983,43,11
43,13.0,1983,44,11
44,11.0,1983,45,12
45,8.5,1983,46,12
46,7.5,1983,47,12
47,6.0,1983,48,12
48,5.0,1983,49,13
49,4.0,1983,50,13
50,3.0,1983,51,13
51,2.0,1983,52,13
52,5.0,1984,1,1
53,5.0,1984,2,1
54,11.0,1984,3,1
55,10.0,1984,4,1
56,7.0,1984,5,2
57,13.0,1984,6,2
58,10.5,1984,7,2
59,10.0,1984,8,2
60,13.0,1984,9,3
61,12.0,1984,10,3
62,10.0,1984,11,3
63,9.0,1984,12,3
64,11.0,1984,13,4
65,7.0,1984,14,4
66,8.0,1984,15,4
67,10.5,1984,16,4
68,10.0,1984,17,5
69,11.5,1984,18,5
70,9.0,1984,19,5
71,11.0,1984,20,5
72,13.0,1984,21,6
73,15.0,1984,22,6
74,14.0,1984,23,6
75,17.0,1984,24,6
76,16.0,1984,25,7
77,14.0,1984,26,7
78,11.0,1984,27,7
79,16.0,1984,28,7
80,12.0,1984,29,8
81,11.5,1984,30,8
82,11.0,1984,31,8
83,13.0,1984,32,8
84,12.0,1984,33,9
85,12.0,1984,34,9
86,13.0,1984,35,9
87,9.0,1984,36,9
88,15.0,1984,37,10
89,12.0,1984,38,10
90,7.0,1984,39,10
91,7.0,1984,40,10
92,10.0,1984,41,11
93,5.0,1984,42,11
94,3.5,1984,43,11
95,5.0,1984,44,11
96,14.0,1984,45,12
97,13.0,1984,46,12
98,19.0,1984,47,12
99,11.5,1984,48,12
100,10.0,1984,49,13
101,6.0,1984,50,13
102,6.5,1984,51,13
103,5.0,1984,52,13
104,2.0,1985,1,1
105,5.0,1985,2,1
106,4.0,1985,3,1
107,5.0,1985,4,1
108,4.0,1985,5,2
109,3.0,1985,6,2
110,2.5,1985,7,2
111,2.0,1985,8,2
112,2.0,1985,9,3
113,2.0,1985,10,3
114,3.0,1985,11,3
115,2.5,1985,12,3
116,2.0,1985,13,4
117,3.0,1985,14,4
118,3.0,1985,15,4
119,3.0,1985,16,4
120,4.0,1985,17,5
121,5.0,1985,18,5
122,6.0,1985,19,5
123,8.0,1985,20,5
124,7.0,1985,21,6
125,11.0,1985,22,6
126,9.0,1985,23,6
127,10.0,1985,24,6
128,10.0,1985,25,7
129,11.0,1985,26,7
130,14.0,1985,27,7
131,15.0,1985,28,7
132,12.0,1985,29,8
133,10.0,1985,30,8
134,12.0,1985,31,8
135,13.0,1985,32,8
136,9.5,1985,33,9
137,8.0,1985,34,9
138,8.0,1985,35,9
139,9.0,1985,36,9
140,11.0,1985,37,10
141,13.0,1985,38,10
142,16.0,1985,39,10
143,18.0,1985,40,10
144,12.0,1985,41,11
145,15.0,1985,42,11
146,14.0,1985,43,11
147,20.0,1985,44,11
148,14.0,1985,45,12
149,7.0,1985,46,12
150,7.5,1985,47,12
151,4.0,1985,48,12
152,5.0,1985,49,13
153,3.0,1985,50,13
154,1.5,1985,51,13
155,0.5,1985,52,13
156,4.5,1986,1,1
157,9.0,1986,2,1
158,9.0,1986,3,1
159,9.5,1986,4,1
160,10.0,1986,5,2
161,7.0,1986,6,2
162,7.5,1986,7,2
163,7.0,1986,8,2
164,8.0,1986,9,3
165,7.0,1986,10,3
166,7.0,1986,11,3
167,5.0,1986,12,3
168,5.0,1986,13,4
169,4.0,1986,14,4
170,3.0,1986,15,4
171,4.0,1986,16,4
172,4.0,1986,17,5
173,4.0,1986,18,5
174,4.5,1986,19,5
175,3.5,1986,20,5
176,6.0,1986,21,6
177,5.0,1986,22,6
178,6.0,1986,23,6
179,6.0,1986,24,6
180,5.0,1986,25,7
181,7.0,1986,26,7
182,6.0,1986,27,7
183,5.0,1986,28,7
184,3.0,1986,29,8
185,5.0,1986,30,8
186,4.0,1986,31,8
187,4.5,1986,32,8
188,4.0,1986,33,9
189,4.0,1986,34,9
190,4.0,1986,35,9
191,4.0,1986,36,9
192,6.0,1986,37,10
193,6.0,1986,38,10
194,4.0,1986,39,10
195,3.0,1986,40,10
196,3.5,1986,41,11
197,8.0,1986,42,11
198,6.0,1986,43,11
199,4.5,1986,44,11
200,6.0,1986,45,12
201,4.5,1986,46,12
202,4.0,1986,47,12
203,3.0,1986,48,12
204,3.0,1986,49,13
205,2.0,1986,50,13
206,1.0,1986,51,13
207,0.5,1986,52,13
208,1.5,1987,1,1
209,4.0,1987,2,1
210,6.0,1987,3,1
211,7.0,1987,4,1
212,7.0,1987,5,2
213,10.0,1987,6,2
214,7.0,1987,7,2
215,7.0,1987,8,2
216,10.0,1987,9,3
217,7.0,1987,10,3
218,6.0,1987,11,3
219,7.0,1987,12,3
220,9.0,1987,13,4
221,9.0,1987,14,4
222,8.0,1987,15,4
223,12.0,1987,16,4
224,13.0,1987,17,5
225,15.0,1987,18,5
226,17.0,1987,19,5
227,20.0,1987,20,5
228,16.0,1987,21,6
229,17.0,1987,22,6
230,15.0,1987,23,6
231,12.0,1987,24,6
232,13.0,1987,25,7
233,13.0,1987,26,7
234,18.0,1987,27,7
235,20.0,1987,28,7
236,16.0,1987,29,8
237,16.0,1987,30,8
238,16.0,1987,31,8
239,16.0,1987,32,8
240,15.0,1987,33,9
241,11.0,1987,34,9
242,11.0,1987,35,9
243,11.0,1987,36,9
244,8.5,1987,37,10
245,10.0,1987,38,10
246,6.0,1987,39,10
247,10.0,1987,40,10
248,8.0,1987,41,11
249,8.0,1987,42,11
250,6.0,1987,43,11
251,8.0,1987,44,11
252,6.0,1987,45,12
253,6.0,1987,46,12
254,7.0,1987,47,12
255,3.0,1987,48,12
256,3.0,1987,49,13
257,2.0,1987,50,13
258,2.0,1987,51,13
259,2.0,1987,52,13
260,1.5,1988,1,1
261,4.0,1988,2,1
262,6.0,1988,3,1
263,5.0,1988,4,1
264,6.0,1988,5,2
265,5.0,1988,6,2
266,5.0,1988,7,2
267,6.0,1988,8,2
268,8.0,1988,9,3
269,5.0,1988,10,3
270,8.0,1988,11,3
271,7.0,1988,12,3
272,10.0,1988,13,4
273,9.0,1988,14,4
274,9.0,1988,15,4
275,9.0,1988,16,4
276,7.0,1988,17,5
277,7.0,1988,18,5
278,7.0,1988,19,5
279,7.0,1988,20,5
280,8.0,1988,21,6
281,9.0,1988,22,6
282,7.0,1988,23,6
283,8.0,1988,24,6
284,8.0,1988,25,7
285,8.0,1988,26,7
286,8.0,1988,27,7
287,8.0,1988,28,7
288,7.0,1988,29,8
289,7.0,1988,30,8
290,10.0,1988,31,8
291,8.0,1988,32,8
292,7.0,1988,33,9
293,7.0,1988,34,9
294,11.0,1988,35,9
295,11.0,1988,36,9
296,12.0,1988,37,10
297,10.0,1988,38,10
298,11.0,1988,39,10
299,11.0,1988,40,10
300,11.0,1988,41,11
301,8.5,1988,42,11
302,10.0,1988,43,11
303,9.0,1988,44,11
304,11.0,1988,45,12
305,7.0,1988,46,12
306,5.0,1988,47,12
307,3.0,1988,48,12
308,3.0,1988,49,13
309,1.5,1988,50,13
310,1.0,1988,51,13
311,0.0,1988,52,13
312,1.0,1989,1,1
313,3.0,1989,2,1
314,3.0,1989,3,1
315,3.0,1989,4,1
316,5.0,1989,5,2
317,3.5,1989,6,2
318,3.0,1989,7,2
319,4.5,1989,8,2
320,5.0,1989,9,3
321,5.0,1989,10,3
322,6.0,1989,11,3
323,5.0,1989,12,3
324,4.0,1989,13,4
325,6.0,1989,14,4
326,5.0,1989,15,4
327,6.5,1989,16,4
328,4.0,1989,17,5
329,6.0,1989,18,5
330,3.0,1989,19,5
331,6.0,1989,20,5
332,5.0,1989,21,6
333,8.0,1989,22,6
334,4.5,1989,23,6
335,4.0,1989,24,6
336,4.0,1989,25,7
337,6.5,1989,26,7
338,4.0,1989,27,7
339,5.0,1989,28,7
340,3.0,1989,29,8
341,5.5,1989,30,8
342,3.0,1989,31,8
343,2.0,1989,32,8
344,2.0,1989,33,9
345,2.0,1989,34,9
346,2.0,1989,35,9
347,3.0,1989,36,9
348,2.0,1989,37,10
349,2.0,1989,38,10
350,2.0,1989,39,10
351,2.0,1989,40,10
352,2.0,1989,41,11
353,1.5,1989,42,11
354,1.5,1989,43,11
355,1.5,1989,44,11
356,1.0,1989,45,12
357,1.0,1989,46,12
358,1.0,1989,47,12
359,1.0,1989,48,12
360,0.5,1989,49,13
361,0.5,1989,50,13
362,0.0,1989,51,13
363,0.0,1989,52,13
364,5.0,1990,1,1
365,8.0,1990,2,1
366,11.0,1990,3,1
367,9.0,1990,4,1
368,9.5,1990,5,2
369,10.0,1990,6,2
370,12.0,1990,7,2
371,10.0,1990,8,2
372,11.5,1990,9,3
373,10.0,1990,10,3
374,11.0,1990,11,3
375,10.0,1990,12,3
376,10.5,1990,13,4
377,10.0,1990,14,4
378,11.0,1990,15,4
379,11.0,1990,16,4
380,11.5,1990,17,5
381,12.0,1990,18,5
382,12.5,1990,19,5
383,13.0,1990,20,5
384,11.0,1990,21,6
385,11.0,1990,22,6
386,11.0,1990,23,6
387,13.0,1990,24,6
388,11.0,1990,25,7
389,13.0,1990,26,7
390,12.0,1990,27,7
391,14.0,1990,28,7
392,10.0,1990,29,8
393,13.0,1990,30,8
394,8.0,1990,31,8
395,7.5,1990,32,8
396,8.0,1990,33,9
397,8.0,1990,34,9
398,7.0,1990,35,9
399,10.0,1990,36,9
400,7.0,1990,37,10
401,10.0,1990,38,10
402,8.0,1990,39,10
403,10.0,1990,40,10
404,9.0,1990,41,11
405,10.0,1990,42,11
406,8.0,1990,43,11
407,11.0,1990,44,11
408,10.0,1990,45,12
409,7.0,1990,46,12
410,5.0,1990,47,12
411,7.0,1990,48,12
412,8.0,1990,49,13
413,6.0,1990,50,13
414,7.5,1990,51,13
415,2.5,1990,52,13
416,9.5,1991,1,1
417,17.5,1991,2,1
418,18.0,1991,3,1
419,20.0,1991,4,1
420,20.5,1991,5,2
421,20.0,1991,6,2
422,19.0,1991,7,2
423,21.0,1991,8,2
424,19.0,1991,9,3
425,26.0,1991,10,3
426,20.0,1991,11,3
427,23.0,1991,12,3
428,22.0,1991,13,4
429,20.0,1991,14,4
430,20.0,1991,15,4
431,24.0,1991,16,4
432,23.0,1991,17,5
433,23.0,1991,18,5
434,20.0,1991,19,5
435,21.0,1991,20,5
436,23.0,1991,21,6
437,23.0,1991,22,6
438,22.0,1991,23,6
439,22.0,1991,24,6
440,21.0,1991,25,7
441,20.0,1991,26,7
442,18.0,1991,27,7
443,21.0,1991,28,7
444,16.0,1991,29,8
445,16.0,1991,30,8
446,15.0,1991,31,8
447,16.0,1991,32,8
448,15.0,1991,33,9
449,15.0,1991,34,9
450,17.0,1991,35,9
451,17.0,1991,36,9
452,21.0,1991,37,10
453,17.0,1991,38,10
454,20.0,1991,39,10
455,16.0,1991,40,10
456,20.0,1991,41,11
457,15.0,1991,42,11
458,17.0,1991,43,11
459,17.0,1991,44,11
460,20.0,1991,45,12
461,15.0,1991,46,12
462,14.0,1991,47,12
463,12.0,1991,48,12
464,11.0,1991,49,13
465,11.0,1991,50,13
466,8.5,1991,51,13
467,2.5,1991,52,13
