,binaryClass_cat,col_1_cat,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num,col_8_num
0,P,76,33.0,33.0,262.0,307.0,1.1718,5.5683,5.7268
1,P,76,34.0,34.0,259.0,306.0,1.1815,5.5568,5.7236
2,P,76,35.0,35.0,257.0,306.0,1.1907,5.5491,5.7236
3,P,76,36.0,36.0,262.0,306.0,1.1679,5.5683,5.7236
4,P,76,37.0,37.0,264.0,306.0,1.1591,5.5759,5.7236
5,P,76,38.0,38.0,268.0,313.0,1.1679,5.591,5.7462
6,P,76,39.0,39.0,276.0,319.0,1.1558,5.6204,5.7652
7,P,76,40.0,40.0,283.0,324.0,1.1449,5.6454,5.7807
8,P,76,41.0,41.0,290.0,332.0,1.1448,5.6699,5.8051
9,P,76,42.0,42.0,286.0,320.0,1.1189,5.656,5.7683
10,P,76,43.0,43.0,288.0,320.0,1.1111,5.663,5.7683
11,P,76,44.0,44.0,286.0,314.0,1.0979,5.656,5.7494
12,P,76,45.0,45.0,279.0,306.0,1.0968,5.6312,5.7236
13,P,76,46.0,46.0,279.0,307.0,1.1004,5.6312,5.7268
14,P,76,47.0,47.0,280.0,308.0,1.1,5.6348,5.7301
15,P,76,48.0,48.0,321.0,358.0,1.1153,5.7714,5.8805
16,P,76,49.0,49.0,328.0,358.0,1.0915,5.793,5.8805
17,P,76,50.0,50.0,334.0,360.0,1.0778,5.8111,5.8861
18,P,77,2.0,54.0,332.0,360.0,1.0843,5.8051,5.8861
19,P,77,3.0,55.0,332.0,362.0,1.0904,5.8051,5.8916
20,P,77,4.0,56.0,326.0,361.0,1.1074,5.7869,5.8889
21,P,77,5.0,57.0,322.0,359.0,1.1149,5.7746,5.8833
22,P,77,6.0,58.0,324.0,359.0,1.108,5.7807,5.8833
23,P,77,7.0,59.0,322.0,359.0,1.1149,5.7746,5.8833
24,P,77,8.0,60.0,316.0,357.0,1.1297,5.7557,5.8777
25,P,77,9.0,61.0,314.0,357.0,1.1369,5.7494,5.8777
26,P,77,10.0,62.0,316.0,357.0,1.1297,5.7557,5.8777
27,P,77,11.0,63.0,316.0,357.0,1.1297,5.7557,5.8777
28,P,77,12.0,64.0,315.0,357.0,1.1333,5.7526,5.8777
29,P,77,13.0,65.0,314.0,356.0,1.1338,5.7494,5.8749
30,P,77,16.0,68.0,313.0,354.0,1.131,5.7462,5.8693
31,P,77,17.0,69.0,312.0,354.0,1.1346,5.743,5.8693
32,P,77,18.0,70.0,307.0,354.0,1.1531,5.7268,5.8693
33,P,77,19.0,71.0,305.0,354.0,1.1607,5.7203,5.8693
34,P,77,20.0,72.0,305.0,354.0,1.1607,5.7203,5.8693
35,P,77,21.0,73.0,299.0,354.0,1.1839,5.7004,5.8693
36,P,77,22.0,74.0,297.0,354.0,1.1919,5.6937,5.8693
37,P,77,23.0,75.0,300.0,354.0,1.18,5.7038,5.8693
38,P,77,24.0,76.0,300.0,354.0,1.18,5.7038,5.8693
39,P,77,25.0,77.0,302.0,354.0,1.1722,5.7104,5.8693
40,P,77,26.0,78.0,300.0,354.0,1.18,5.7038,5.8693
41,P,77,33.0,85.0,293.0,349.0,1.1911,5.6802,5.8551
42,P,77,34.0,86.0,293.0,349.0,1.1911,5.6802,5.8551
43,P,77,35.0,87.0,293.0,347.0,1.1843,5.6802,5.8493
44,P,77,36.0,88.0,296.0,347.0,1.1723,5.6904,5.8493
45,P,77,37.0,89.0,295.0,347.0,1.1763,5.687,5.8493
46,P,77,38.0,90.0,297.0,347.0,1.1684,5.6937,5.8493
47,P,77,39.0,91.0,298.0,347.0,1.1644,5.6971,5.8493
48,P,77,40.0,92.0,299.0,346.0,1.1572,5.7004,5.8464
49,P,77,41.0,93.0,301.0,347.0,1.1528,5.7071,5.8493
50,P,77,42.0,94.0,305.0,348.0,1.141,5.7203,5.8522
51,P,77,43.0,95.0,307.0,348.0,1.1336,5.7268,5.8522
52,P,77,44.0,96.0,306.0,346.0,1.1307,5.7236,5.8464
53,P,77,45.0,97.0,303.0,345.0,1.1386,5.7137,5.8435
54,P,77,46.0,98.0,304.0,345.0,1.1349,5.717,5.8435
55,P,77,47.0,99.0,303.0,345.0,1.1386,5.7137,5.8435
56,P,77,48.0,100.0,300.0,345.0,1.15,5.7038,5.8435
57,P,77,49.0,101.0,299.0,345.0,1.1538,5.7004,5.8435
58,P,77,50.0,102.0,297.0,345.0,1.1616,5.6937,5.8435
59,P,78,2.0,106.0,297.0,345.0,1.1616,5.6937,5.8435
60,P,78,3.0,107.0,297.0,345.0,1.1616,5.6937,5.8435
61,P,78,4.0,108.0,298.0,345.0,1.1577,5.6971,5.8435
