,Month.ordered.picks.1971_cat,Lottery.pick.1970_num,Lottery.pick.1971_num,Month_cat,Month.ordered.picks.1970_cat
0,7,305,133.0,1,9
1,12,159,195.0,1,4
2,7,251,336.0,1,12
3,7,215,99.0,1,2
4,10,101,33.0,1,10
5,11,224,285.0,1,9
6,6,306,159.0,1,10
7,4,199,116.0,1,9
8,5,194,53.0,1,11
9,8,325,101.0,1,12
10,11,329,144.0,1,8
11,3,221,152.0,1,12
12,2,318,330.0,1,7
13,3,238,71.0,1,4
14,7,17,75.0,1,7
15,2,121,136.0,1,12
16,10,235,54.0,1,1
17,9,140,185.0,1,9
18,12,58,188.0,1,11
19,2,280,211.0,1,6
20,9,186,129.0,1,8
21,5,337,132.0,1,6
22,11,118,48.0,1,7
23,3,59,177.0,1,10
24,2,52,57.0,1,2
25,5,92,140.0,1,12
26,12,355,173.0,1,7
27,10,77,346.0,1,6
28,5,349,277.0,1,3
29,7,164,112.0,1,3
30,4,211,60.0,1,5
31,8,86,335.0,2,4
32,1,144,354.0,2,3
33,10,297,186.0,2,11
34,11,210,94.0,2,5
35,10,214,97.0,2,8
36,4,347,16.0,2,5
37,3,91,25.0,2,10
38,11,181,127.0,2,12
39,5,338,187.0,2,5
40,12,216,46.0,2,12
41,6,150,227.0,2,7
42,6,68,262.0,2,12
43,6,152,13.0,2,8
44,10,4,260.0,2,8
45,2,89,201.0,2,11
46,7,212,334.0,2,11
47,1,189,345.0,2,8
48,8,292,337.0,2,9
49,8,25,331.0,2,7
50,6,302,20.0,2,11
51,11,363,213.0,2,1
52,1,290,271.0,2,12
53,1,57,351.0,2,8
54,6,236,226.0,2,5
55,3,179,325.0,2,12
56,1,365,86.0,2,2
57,8,205,66.0,2,1
58,7,299,234.0,2,1
59,1,285,,2,6
60,5,108,14.0,3,8
61,4,29,77.0,3,4
62,11,267,207.0,3,9
63,8,275,117.0,3,6
64,6,293,299.0,3,5
65,2,139,296.0,3,11
66,11,122,141.0,3,7
67,9,213,79.0,3,2
68,8,317,278.0,3,6
69,10,323,150.0,3,12
70,1,136,317.0,3,9
71,11,300,24.0,3,10
72,12,259,241.0,3,6
73,10,354,12.0,3,4
74,1,169,157.0,3,5
75,6,166,258.0,3,11
76,3,33,220.0,3,1
77,10,332,319.0,3,12
78,3,200,189.0,3,10
79,12,239,170.0,3,11
80,11,334,246.0,3,4
81,4,265,269.0,3,9
82,8,256,281.0,3,4
83,10,258,203.0,3,12
84,7,343,298.0,3,6
85,2,170,121.0,3,2
86,12,268,254.0,3,10
87,9,223,95.0,3,7
88,4,362,147.0,3,2
89,7,217,56.0,3,4
90,8,30,38.0,3,2
91,10,32,224.0,4,1
92,9,271,216.0,4,7
93,2,83,297.0,4,10
94,3,81,37.0,4,12
95,5,269,124.0,4,12
96,2,253,312.0,4,11
97,11,147,142.0,4,7
98,1,312,267.0,4,11
99,11,219,223.0,4,12
100,1,218,165.0,4,1
101,8,14,178.0,4,8
102,8,346,89.0,4,5
103,7,124,143.0,4,6
104,5,231,202.0,4,12
105,7,273,182.0,4,8
106,9,148,31.0,4,11
107,9,260,264.0,4,3
108,8,90,138.0,4,6
109,12,336,62.0,4,6
110,4,345,118.0,4,8
111,1,62,8.0,4,5
112,6,316,256.0,4,9
113,12,252,292.0,4,8
114,10,2,244.0,4,7
115,1,351,328.0,4,8
116,3,340,137.0,4,10
117,4,74,235.0,4,1
118,11,262,82.0,4,9
119,7,191,111.0,4,7
120,3,208,358.0,4,1
121,5,330,179.0,5,3
122,11,298,96.0,5,12
123,4,40,171.0,5,4
124,8,276,240.0,5,10
125,12,364,301.0,5,11
126,2,155,268.0,5,11
127,12,35,29.0,5,12
128,1,321,105.0,5,12
129,9,197,357.0,5,5
130,10,65,146.0,5,11
131,1,37,293.0,5,11
132,1,133,210.0,5,5
133,10,295,353.0,5,6
134,6,178,40.0,5,12
135,1,130,344.0,5,3
136,4,55,175.0,5,6
137,4,112,212.0,5,10
138,9,278,180.0,5,3
139,1,75,155.0,5,1
140,3,183,242.0,5,8
141,4,250,225.0,5,8
142,4,326,199.0,5,11
