,binaryClass_cat,OVER65Perc_num,MEDAGE_num,PERCAP$_num,COLLEGEPerc_num
0,N,12.5,30.4,7756.0,14.0
1,N,11.2,30.1,9217.0,18.4
2,N,11.4,29.4,7970.0,19.5
3,N,12.7,31.2,10096.0,20.0
4,P,13.4,31.8,9200.0,15.3
5,N,11.7,32.0,11559.0,21.2
6,P,12.3,31.9,10242.0,18.7
7,P,11.7,32.2,10811.0,18.6
8,P,12.9,32.1,9352.0,13.8
9,P,10.8,29.9,9401.0,14.8
10,P,10.7,29.2,8970.0,12.4
11,P,11.0,29.9,10448.0,14.5
12,N,9.8,28.8,9798.0,15.2
13,N,12.0,29.4,9361.0,14.9
14,N,11.8,29.2,9662.0,16.7
15,N,13.3,30.0,9211.0,14.1
16,P,13.2,30.9,8856.0,14.0
17,P,12.3,28.3,8651.0,15.2
18,N,13.2,28.9,7815.0,14.2
19,N,13.1,29.7,8887.0,16.1
20,N,13.0,30.1,9799.0,15.7
21,N,10.0,29.8,9949.0,16.3
22,P,9.4,30.3,10365.0,19.8
23,P,9.5,29.8,9446.0,19.2
24,P,12.2,30.4,7747.0,10.5
25,P,10.3,29.6,7774.0,13.4
26,P,9.2,28.1,7389.0,14.2
27,P,9.5,28.7,8041.0,15.3
28,P,17.3,34.7,9245.0,14.7
29,P,11.2,29.1,7644.0,11.0
30,P,11.3,30.1,7689.0,11.9
31,P,11.3,29.3,7454.0,12.6
32,P,11.5,27.7,6614.0,13.0
33,P,13.7,30.6,7099.0,9.7
34,P,9.6,27.4,8404.0,13.4
35,P,12.4,30.1,9029.0,15.7
36,P,9.6,28.2,9439.0,16.0
37,N,10.7,29.0,8334.0,17.3
38,N,9.9,27.6,8100.0,16.1
39,N,7.9,27.1,11009.0,17.2
40,N,8.6,28.6,10147.0,23.0
41,N,8.9,27.4,7947.0,17.3
42,N,11.3,29.2,8855.0,16.8
43,N,7.5,24.2,7679.0,20.3
44,N,8.2,30.2,10845.0,15.1
45,N,10.4,29.8,10248.0,18.8
46,N,11.5,30.2,9319.0,17.2
47,N,10.2,29.9,11020.0,19.8
48,N,2.9,26.1,13007.0,22.4
49,N,7.9,28.4,10129.0,20.3
