,class_cat,attr1_cat,attr2_cat,attr3_cat,attr4_cat,attr5_cat,attr6_cat
0,1,1,1,1,1,1,2
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,2
3,0,1,1,1,1,3,1
4,0,1,1,1,1,4,1
5,1,1,1,1,2,1,1
6,1,1,1,1,2,2,2
7,0,1,1,1,2,4,2
8,1,1,1,2,1,2,2
9,0,1,1,2,1,4,2
10,1,1,1,2,2,2,2
11,0,1,1,2,2,4,1
12,0,1,1,2,2,4,2
13,1,1,1,2,3,1,1
14,1,1,1,2,3,1,2
15,1,1,1,2,3,3,1
16,1,1,1,2,3,3,2
17,1,1,2,1,1,3,1
18,1,1,2,1,2,2,1
19,1,1,2,1,2,2,2
20,0,1,2,1,2,3,1
21,1,1,2,1,3,1,1
22,1,1,2,1,3,1,2
23,1,1,2,1,3,2,1
24,1,1,2,1,3,2,2
25,1,1,2,1,3,3,2
26,0,1,2,1,3,4,1
27,1,1,2,2,1,3,1
28,0,1,2,2,1,4,2
29,1,1,2,2,2,1,1
30,1,1,2,2,2,2,1
31,1,1,2,2,2,2,2
32,1,1,2,2,3,1,1
33,1,1,2,2,3,2,1
34,1,1,2,2,3,2,2
35,0,1,3,1,1,2,1
36,0,1,3,1,1,4,1
37,0,1,3,1,2,3,2
38,0,1,3,1,2,4,1
39,0,1,3,1,3,1,1
40,0,1,3,1,3,3,1
41,0,1,3,2,1,1,1
42,0,1,3,2,1,1,2
43,0,1,3,2,1,2,1
44,0,1,3,2,1,4,2
45,0,1,3,2,2,3,2
46,0,1,3,2,2,4,2
47,0,1,3,2,3,4,1
48,1,2,1,1,1,1,1
49,1,2,1,1,1,1,2
50,0,2,1,1,1,4,1
51,0,2,1,1,1,4,2
52,1,2,1,1,2,1,1
53,1,2,1,1,2,1,2
54,1,2,1,1,3,2,2
55,1,2,1,1,3,3,2
56,0,2,1,1,3,4,1
57,1,2,1,2,1,2,2
58,0,2,1,2,2,4,1
59,1,2,1,2,3,1,2
60,1,2,2,1,1,3,2
61,0,2,2,1,1,4,2
62,1,2,2,1,2,1,2
63,0,2,2,1,2,2,1
64,1,2,2,1,3,1,1
65,1,2,2,1,3,2,2
66,0,2,2,1,3,3,1
67,0,2,2,1,3,3,2
68,0,2,2,1,3,4,2
69,1,2,2,2,1,2,2
70,1,2,2,2,2,1,2
71,1,2,2,2,2,3,1
72,1,2,2,2,2,3,2
73,0,2,2,2,3,4,1
74,1,2,3,1,1,3,1
75,0,2,3,1,2,1,1
76,0,2,3,1,2,2,1
77,0,2,3,1,2,2,2
78,0,2,3,1,2,3,2
79,0,2,3,1,3,3,1
80,0,2,3,2,1,1,2
81,0,2,3,2,1,2,2
82,0,2,3,2,1,4,1
83,0,2,3,2,2,3,1
84,0,2,3,2,2,4,2
85,0,2,3,2,3,1,1
86,0,2,3,2,3,2,1
87,0,2,3,2,3,4,2
88,1,3,1,1,1,1,1
89,1,3,1,1,1,2,1
90,1,3,1,1,1,3,1
91,0,3,1,1,2,4,2
92,1,3,1,1,3,1,2
93,0,3,1,1,3,4,2
94,1,3,1,2,1,2,1
95,1,3,1,2,2,3,2
96,0,3,1,2,2,4,2
97,1,3,1,2,3,1,1
98,1,3,2,1,1,2,2
99,0,3,2,1,1,4,1
100,1,3,2,1,2,3,1
101,1,3,2,1,3,1,2
102,1,3,2,2,1,2,2
