,year_cat,gq_cat,gqtypeg_cat,farm_cat,ownershg_cat,value_cat,rent_cat,ftotinc_cat,nfams_cat,ncouples_cat,nmothers_cat,nfathers_cat,momloc_cat,stepmom_cat,momrule_cat,poploc_cat,steppop_cat,poprule_cat,sploc_cat,sprule_cat,famsize_cat,nchild_cat,nchlt5_cat,famunit_cat,eldch_cat,yngch_cat,nsibs_cat,relateg_cat,age_cat,sex_cat,raceg_cat,marst_cat,chborn_cat,bplg_cat,school_cat,educrec_cat,schltype_cat,empstatg_cat,labforce_cat,occ1950_cat,occscore_cat,sei_cat,ind1950_cat,classwkg_cat,wkswork2_cat,hrswork2_cat,yrlastwk_cat,workedyr_cat,inctot_cat,incwage_cat,incbus_cat,incfarm_cat,incss_cat,incwelfr_cat,incother_cat,poverty_cat,migrat5g_cat,migplac5_cat,movedin_cat,vetstat_cat,tranwork_cat
0,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,412,23000,2,0,1,1,0,0,0,1,0,1,0,0,7,0,0,1,99,99,1,Child,14,Female,White,Never_married_single,,California,Yes_in_school,Grade_5-8,Public_school,,,,0,0,,,,,,,0,999999,999999,999999,99999,99999,99999,116,Same_house,,0,,
1,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),162500,0,38008,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,25,Male,White,Never_married_single,,Michigan,No_not_in_school,4+_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,Aeronautical-Engineers,48,87,Aircraft_and_parts,Works_for_wages_salary,50-52_weeks,40_hours,,Yes,38008,38000,0,0,0,0,0,501,Moved_place_not_reported,Michigan,2,No_Service,Auto_truck_or_van
2,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,675,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,Child,5,Female,Black_Negro,Never_married_single,,California,Yes_in_school,Grade_1-4,Public_school,,,,0,0,,,,,,,0,999999,999999,999999,99999,99999,99999,1,Moved_place_not_reported,California,0,,
3,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,725,23008,2,1,1,1,1,0,1,2,0,1,0,0,5,0,0,1,99,99,2,Child,2,Male,White,Never_married_single,,California,,,,,,,0,0,,,,,,,0,999999,999999,999999,99999,99999,99999,155,,,0,,
4,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),400000,0,104000,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,Child,10,Male,White,Never_married_single,,California,Yes_in_school,Grade_1-4,Public_school,,,,0,0,,,,,,,0,999999,999999,999999,99999,99999,99999,501,Same_house,,0,,
5,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),85000,0,17000,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,Spouse,85,Female,White,Married_spouse_present,No_children,California,No_not_in_school,Grade_5-8,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,,0,0,,,,,Never_worked,No,7000,0,0,0,7000,0,0,227,Same_house,,0,No_Service,
6,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,1000,14000,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,35,35,0,Parent,59,Female,White,Married_spouse_present,4,Iran,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,,0,0,,,,,Never_worked,No,0,0,0,0,0,0,0,144,Same_house,,0,No_Service,
7,99,Other_group_quarters,Non-institutional_GQ_(1940_1950_1990),Non-Farm,,999999,0,999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Other_non-relatives,30,Male,Black_Negro,Married_spouse_absent,,California,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Unemployed,Yes_in_labor_force,Electricians_apprentice,25,37,Misc_retail_stores,Works_for_wages_salary,,,Worked_current_yr,No,0,0,0,0,0,0,0,0,Moved_place_not_reported,California,0,No_Service,
8,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,1000,10000,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,1,99,99,0,Spouse,45,Male,Black_Negro,Married_spouse_present,,Louisiana,No_not_in_school,4+_years_of_college,Not_enrolled,Unemployed,Yes_in_labor_force,Managers_officials_and_proprietors_(nec),41,68,Eating_and_drinking__places,Self-employed,,,Worked_2_yrs_prior,No,0,0,0,0,0,0,0,120,Moved_place_not_reported,California,0,Yes,
9,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,875,34000,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,Child,11,Female,White,Never_married_single,,California,Yes_in_school,Grade_1-4,Public_school,,,,0,0,,,,,,,0,999999,999999,999999,99999,99999,99999,205,Moved_place_not_reported,California,0,,
10,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),42499,0,31000,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,Partner_friend_visitor,24,Female,White,Never_married_single,No_children,California,Yes_in_school,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,Clerical_and_kindred_workers_(n_e_c_),25,44,General_merchandise,Works_for_wages_salary,50-52_weeks,15-29_hours,,Yes,16700,16700,0,0,0,0,0,259,Moved_place_not_reported,California,0,No_Service,Auto_truck_or_van
11,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,137,7800,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,79,Female,White,Widowed,3,South_Dakota,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,,0,0,,,,,Worked_more_than_10_yrs_ago,No,7800,0,0,0,5292,2508,0,131,Same_house,,2,No_Service,
12,99,Institution,Institution_(1990),Non-Farm,,999999,0,999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Institutional_inmates,51,Female,White,Widowed,No_children,California,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,Managers_officials_and_proprietors_(nec),41,68,Welfare_and_religious_services,Self-employed,,,Worked_2_yrs_prior,No,660,0,0,0,0,660,0,0,Moved_place_not_reported,California,0,No_Service,
13,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,462,37118,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,Child,2,Male,White,Never_married_single,,California,,,,,,,0,0,,,,,,,0,999999,999999,999999,99999,99999,99999,295,,,0,,
14,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,625,14000,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,Child,3,Female,White,Never_married_single,,California,No_not_in_school,None_or_preschool,Not_enrolled,,,,0,0,,,,,,,0,999999,999999,999999,99999,99999,99999,111,,,0,,
15,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),225000,0,63000,1,1,1,1,0,0,0,0,0,0,1,1,4,2,1,1,5,2,0,Spouse,28,Female,White,Married_spouse_present,2__children,California,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,Clerical_and_kindred_workers_(n_e_c_),24,44,Food_stores_except_dairy,Works_for_wages_salary,50-52_weeks,15-29_hours,,Yes,20000,20000,0,0,0,0,0,501,Moved_place_not_reported,California,0,No_Service,Auto_truck_or_van
16,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,575,45500,1,1,1,1,0,0,0,0,0,0,2,1,6,4,0,1,24,19,0,Parent,44,Female,White,Married_spouse_present,4,Mexico,No_not_in_school,Grade_5-8,Not_enrolled,Employed,Yes_in_labor_force,Operative_and_kindred_workers_(nec),23,18,Dairy_products,Works_for_wages_salary,50-52_weeks,40_hours,,Yes,16000,16000,0,0,0,0,0,256,Same_house,,0,No_Service,Auto_truck_or_van
17,99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),85000,0,31564,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,20,20,0,Spouse,55,Female,White,Married_spouse_present,3,Germany,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,Service_workers_except_private_household_(nec),11,11,Hospitals,Works_for_wages_salary,48-49_weeks,30-34_hours,,Yes,9600,9600,0,0,0,0,0,325,Same_house,,0,No_Service,Auto_truck_or_van
