,counts_for_sons_current_occupation_num,fathers_occupation_cat,sons_occupation_cat,family_structure_cat,race_cat,counts_for_sons_first_occupation_num
0,31.3,Professional_Self-Employed,Professional_Self-Employed,intact,white,22.9
1,86.6,Professional_Self-Employed,Professional-Salaried,intact,white,96.2
2,47.2,Professional_Self-Employed,Manager,intact,white,18.1
3,15.4,Professional_Self-Employed,Salesman-Nonretail,intact,white,8.9
4,8.1,Professional_Self-Employed,Proprietor,intact,white,2.8
5,11.3,Professional_Self-Employed,Clerk,intact,white,22.4
6,5.3,Professional_Self-Employed,Salesman-Retail,intact,white,5.7
7,6.1,Professional_Self-Employed,Craftsman-Manufacturing,intact,white,7.6
8,12.1,Professional_Self-Employed,Craftsmen-Other,intact,white,6.6
9,7.5,Professional_Self-Employed,Craftsman-Construction,intact,white,6.8
10,8.3,Professional_Self-Employed,Service_Worker,intact,white,3.9
11,8.1,Professional_Self-Employed,Operative-Nonmanufacturing,intact,white,9.6
12,2.3,Professional_Self-Employed,Operative-Manufacturing,intact,white,8.0
13,2.6,Professional_Self-Employed,Laborer-Manufacturing,intact,white,2.4
14,3.6,Professional_Self-Employed,Laborer-Nonmanufacturing,intact,white,5.9
15,1.4,Professional_Self-Employed,Farmer/Farm_Manager,intact,white,1.4
16,0.8,Professional_Self-Employed,Farm_Laborer,intact,white,0.0
17,35.5,Professional-Salaried,Professional_Self-Employed,intact,white,7.3
18,344.1,Professional-Salaried,Professional-Salaried,intact,white,338.6
19,149.7,Professional-Salaried,Manager,intact,white,54.5
20,42.0,Professional-Salaried,Salesman-Nonretail,intact,white,36.2
21,12.0,Professional-Salaried,Proprietor,intact,white,8.4
22,70.5,Professional-Salaried,Clerk,intact,white,96.6
23,28.6,Professional-Salaried,Salesman-Retail,intact,white,33.1
24,46.8,Professional-Salaried,Craftsman-Manufacturing,intact,white,26.8
25,65.5,Professional-Salaried,Craftsmen-Other,intact,white,54.7
26,31.0,Professional-Salaried,Craftsman-Construction,intact,white,13.1
27,49.7,Professional-Salaried,Service_Worker,intact,white,24.8
28,45.1,Professional-Salaried,Operative-Nonmanufacturing,intact,white,48.4
29,50.7,Professional-Salaried,Operative-Manufacturing,intact,white,62.3
30,8.2,Professional-Salaried,Laborer-Manufacturing,intact,white,15.2
31,20.7,Professional-Salaried,Laborer-Nonmanufacturing,intact,white,23.4
32,7.7,Professional-Salaried,Farmer/Farm_Manager,intact,white,3.3
33,2.4,Professional-Salaried,Farm_Laborer,intact,white,11.1
34,41.1,Manager,Professional_Self-Employed,intact,white,12.8
35,275.0,Manager,Professional-Salaried,intact,white,293.2
36,290.9,Manager,Manager,intact,white,112.8
37,92.3,Manager,Salesman-Nonretail,intact,white,82.0
38,34.1,Manager,Proprietor,intact,white,4.4
39,68.3,Manager,Clerk,intact,white,128.1
40,50.7,Manager,Salesman-Retail,intact,white,59.0
41,49.2,Manager,Craftsman-Manufacturing,intact,white,35.4
42,71.9,Manager,Craftsmen-Other,intact,white,49.8
43,31.7,Manager,Craftsman-Construction,intact,white,28.5
44,62.5,Manager,Service_Worker,intact,white,28.6
45,59.0,Manager,Operative-Nonmanufacturing,intact,white,72.9
46,46.7,Manager,Operative-Manufacturing,intact,white,82.9
47,7.9,Manager,Laborer-Manufacturing,intact,white,13.0
48,31.7,Manager,Laborer-Nonmanufacturing,intact,white,52.8
49,4.5,Manager,Farmer/Farm_Manager,intact,white,5.4
50,5.1,Manager,Farm_Laborer,intact,white,5.2
51,17.4,Salesman-Nonretail,Professional_Self-Employed,intact,white,6.5
52,104.8,Salesman-Nonretail,Professional-Salaried,intact,white,114.0
53,95.3,Salesman-Nonretail,Manager,intact,white,29.1
54,60.8,Salesman-Nonretail,Salesman-Nonretail,intact,white,40.5
55,10.0,Salesman-Nonretail,Proprietor,intact,white,1.7
56,36.4,Salesman-Nonretail,Clerk,intact,white,67.9
57,18.8,Salesman-Nonretail,Salesman-Retail,intact,white,26.3
58,19.6,Salesman-Nonretail,Craftsman-Manufacturing,intact,white,12.4
59,27.6,Salesman-Nonretail,Craftsmen-Other,intact,white,23.1
60,11.9,Salesman-Nonretail,Craftsman-Construction,intact,white,6.1
61,29.9,Salesman-Nonretail,Service_Worker,intact,white,9.5
62,22.3,Salesman-Nonretail,Operative-Nonmanufacturing,intact,white,26.7
63,21.5,Salesman-Nonretail,Operative-Manufacturing,intact,white,30.2
64,3.3,Salesman-Nonretail,Laborer-Manufacturing,intact,white,4.7
65,12.8,Salesman-Nonretail,Laborer-Nonmanufacturing,intact,white,18.9
66,0.8,Salesman-Nonretail,Farmer/Farm_Manager,intact,white,1.3
67,2.6,Salesman-Nonretail,Farm_Laborer,intact,white,4.0
68,27.0,Proprietor,Professional_Self-Employed,intact,white,16.2
69,150.6,Proprietor,Professional-Salaried,intact,white,165.7
70,187.3,Proprietor,Manager,intact,white,58.4
71,73.2,Proprietor,Salesman-Nonretail,intact,white,46.0
72,74.9,Proprietor,Proprietor,intact,white,29.1
73,53.3,Proprietor,Clerk,intact,white,97.1
74,28.3,Proprietor,Salesman-Retail,intact,white,76.1
75,51.0,Proprietor,Craftsman-Manufacturing,intact,white,29.0
76,52.7,Proprietor,Craftsmen-Other,intact,white,41.6
77,46.7,Proprietor,Craftsman-Construction,intact,white,30.8
78,31.2,Proprietor,Service_Worker,intact,white,23.6
79,50.3,Proprietor,Operative-Nonmanufacturing,intact,white,59.7
80,52.0,Proprietor,Operative-Manufacturing,intact,white,79.5
81,8.7,Proprietor,Laborer-Manufacturing,intact,white,19.1
82,22.0,Proprietor,Laborer-Nonmanufacturing,intact,white,54.5
83,10.6,Proprietor,Farmer/Farm_Manager,intact,white,11.0
84,4.9,Proprietor,Farm_Laborer,intact,white,11.5
85,9.9,Clerk,Professional_Self-Employed,intact,white,1.9
86,153.1,Clerk,Professional-Salaried,intact,white,154.3
87,110.9,Clerk,Manager,intact,white,32.7
88,29.9,Clerk,Salesman-Nonretail,intact,white,22.2
89,14.1,Clerk,Proprietor,intact,white,4.1
90,64.4,Clerk,Clerk,intact,white,110.3
91,14.1,Clerk,Salesman-Retail,intact,white,27.3
92,38.7,Clerk,Craftsman-Manufacturing,intact,white,16.6
93,35.3,Clerk,Craftsmen-Other,intact,white,36.9
94,27.6,Clerk,Craftsman-Construction,intact,white,9.8
95,36.7,Clerk,Service_Worker,intact,white,15.1
96,40.2,Clerk,Operative-Nonmanufacturing,intact,white,52.0
97,47.6,Clerk,Operative-Manufacturing,intact,white,63.2
98,10.2,Clerk,Laborer-Manufacturing,intact,white,19.6
99,24.6,Clerk,Laborer-Nonmanufacturing,intact,white,27.8
100,3.2,Clerk,Farmer/Farm_Manager,intact,white,2.3
101,3.6,Clerk,Farm_Laborer,intact,white,8.9
102,18.3,Salesman-Retail,Professional_Self-Employed,intact,white,4.7
103,45.6,Salesman-Retail,Professional-Salaried,intact,white,60.0
104,57.1,Salesman-Retail,Manager,intact,white,16.4
105,31.9,Salesman-Retail,Salesman-Nonretail,intact,white,17.3
106,22.7,Salesman-Retail,Proprietor,intact,white,2.3
107,28.9,Salesman-Retail,Clerk,intact,white,44.2
108,15.3,Salesman-Retail,Salesman-Retail,intact,white,38.1
109,17.7,Salesman-Retail,Craftsman-Manufacturing,intact,white,10.3
110,27.7,Salesman-Retail,Craftsmen-Other,intact,white,16.7
111,11.7,Salesman-Retail,Craftsman-Construction,intact,white,5.9
112,14.7,Salesman-Retail,Service_Worker,intact,white,7.4
113,18.0,Salesman-Retail,Operative-Nonmanufacturing,intact,white,34.7
114,22.8,Salesman-Retail,Operative-Manufacturing,intact,white,35.5
115,4.6,Salesman-Retail,Laborer-Manufacturing,intact,white,9.8
116,9.5,Salesman-Retail,Laborer-Nonmanufacturing,intact,white,10.5
117,2.0,Salesman-Retail,Farmer/Farm_Manager,intact,white,2.9
118,0.0,Salesman-Retail,Farm_Laborer,intact,white,3.1
119,13.7,Craftsman-Manufacturing,Professional_Self-Employed,intact,white,7.3
120,222.0,Craftsman-Manufacturing,Professional-Salaried,intact,white,193.8
121,148.9,Craftsman-Manufacturing,Manager,intact,white,46.6
122,64.4,Craftsman-Manufacturing,Salesman-Nonretail,intact,white,31.4
123,34.0,Craftsman-Manufacturing,Proprietor,intact,white,2.3
124,97.9,Craftsman-Manufacturing,Clerk,intact,white,157.7
125,28.4,Craftsman-Manufacturing,Salesman-Retail,intact,white,46.4
126,185.8,Craftsman-Manufacturing,Craftsman-Manufacturing,intact,white,138.3
127,118.3,Craftsman-Manufacturing,Craftsmen-Other,intact,white,61.3
128,53.3,Craftsman-Manufacturing,Craftsman-Construction,intact,white,25.8
129,61.6,Craftsman-Manufacturing,Service_Worker,intact,white,50.7
130,84.1,Craftsman-Manufacturing,Operative-Nonmanufacturing,intact,white,91.9
131,172.0,Craftsman-Manufacturing,Operative-Manufacturing,intact,white,236.9
132,20.7,Craftsman-Manufacturing,Laborer-Manufacturing,intact,white,72.8
133,38.9,Craftsman-Manufacturing,Laborer-Nonmanufacturing,intact,white,66.1
134,6.2,Craftsman-Manufacturing,Farmer/Farm_Manager,intact,white,7.3
135,3.1,Craftsman-Manufacturing,Farm_Laborer,intact,white,11.9
136,10.9,Craftsmen-Other,Professional_Self-Employed,intact,white,6.4
137,208.3,Craftsmen-Other,Professional-Salaried,intact,white,194.2
138,165.1,Craftsmen-Other,Manager,intact,white,46.6
139,57.1,Craftsmen-Other,Salesman-Nonretail,intact,white,33.2
140,40.1,Craftsmen-Other,Proprietor,intact,white,2.7
141,103.7,Craftsmen-Other,Clerk,intact,white,152.6
142,33.8,Craftsmen-Other,Salesman-Retail,intact,white,48.5
143,121.4,Craftsmen-Other,Craftsman-Manufacturing,intact,white,58.2
144,179.9,Craftsmen-Other,Craftsmen-Other,intact,white,180.7
145,64.8,Craftsmen-Other,Craftsman-Construction,intact,white,45.6
146,82.6,Craftsmen-Other,Service_Worker,intact,white,43.5
147,110.5,Craftsmen-Other,Operative-Nonmanufacturing,intact,white,163.7
148,131.2,Craftsmen-Other,Operative-Manufacturing,intact,white,148.3
149,22.1,Craftsmen-Other,Laborer-Manufacturing,intact,white,35.0
150,46.7,Craftsmen-Other,Laborer-Nonmanufacturing,intact,white,99.5
151,11.3,Craftsmen-Other,Farmer/Farm_Manager,intact,white,5.9
152,3.8,Craftsmen-Other,Farm_Laborer,intact,white,26.9
153,8.9,Craftsman-Construction,Professional_Self-Employed,intact,white,5.8
