,binaryClass_cat,oz1_num,oz2_num,oz3_num,oz4_num,oz5_num
0,P,-0.985636,0.058884,0.245698,-1.207346,1.135988
1,P,-1.688321,-1.228368,0.334559,1.073658,0.409526
2,P,1.327532,-1.391201,-0.495457,-0.4416,0.065807
3,P,1.272298,-1.170304,-0.192112,0.578137,-1.383125
4,N,-0.347877,1.31562,1.494802,-1.010239,-1.268105
5,P,-1.308109,-1.387426,-0.971749,-0.483821,0.045139
6,N,-0.000749,0.684761,-0.09205,0.095892,1.398949
7,N,0.19658,0.618764,1.48754,-1.298051,-0.236183
8,N,1.613302,0.541607,-0.040264,1.293477,-0.080722
9,N,0.980805,-0.349465,-1.076273,-0.027185,-0.66868
10,P,-1.127736,0.041576,0.175868,-0.151181,-0.692826
11,N,0.331215,0.869629,-1.419643,0.296122,-0.782625
12,N,0.766237,0.006663,-0.79052,1.43782,-1.664127
13,N,-0.319518,1.570712,0.469875,-0.524461,-1.087114
14,P,-1.606053,-0.410726,1.204858,-0.520379,-0.882167
15,N,1.215076,-1.191531,1.56884,1.615409,0.83767
16,P,1.170173,-0.906012,-0.279861,-0.786631,-1.427025
17,N,0.678726,0.5975,1.134369,-1.603969,-0.018723
18,P,0.479445,-0.886562,-1.034071,0.495429,-0.482098
19,P,0.450063,-0.507015,-1.538713,-1.659671,-0.399871
20,P,-0.734915,-0.640444,-0.361844,0.154296,-0.40374
21,N,0.719885,-0.892159,1.663985,0.650107,-0.614141
22,N,0.665648,0.225719,-1.654013,-1.264051,0.20835
23,N,-0.578712,1.410067,0.838592,0.41463,-1.085976
24,P,-0.824151,-0.454484,0.865258,-0.504904,-0.874733
25,N,0.966888,-0.993932,1.541031,0.48521,-1.208804
26,P,-1.735731,-1.568056,-1.373833,-1.282771,-1.187944
27,N,-0.526132,-0.50054,1.702833,-0.050621,-1.259378
28,N,1.22587,0.349584,-0.044959,1.659411,-0.571539
29,N,0.056368,-0.069658,-0.140604,0.557132,0.002855
30,N,0.237199,1.045678,0.373749,1.145972,-0.611781
31,P,-1.002637,0.276071,-0.286869,0.024074,-1.227116
32,P,-0.150025,-1.102759,-0.888788,-1.159173,-0.229619
33,P,-0.15436,-0.479752,-0.136469,0.480172,0.246541
34,P,0.618501,-0.885406,-0.315588,-1.500935,-1.043306
35,P,0.116562,1.567408,-0.998599,-1.627301,0.09577
36,P,-0.295076,0.823535,-0.684137,-1.311438,0.090784
37,N,0.737215,0.694047,1.709455,-0.611593,1.330467
38,N,-0.134133,-0.143925,1.016554,-0.44701,1.278926
39,N,1.340355,1.581262,-1.059518,0.605663,-1.130085
40,P,-0.892895,-1.269422,0.582689,-1.333294,-0.977944
41,P,0.106058,-1.198936,1.573823,-0.388235,-0.376686
42,P,-1.500187,1.116476,-0.183552,-0.775047,1.308371
43,N,0.053742,1.359919,-1.290844,-0.799421,-1.541793
44,P,1.402768,0.75521,-0.028696,-0.91309,-1.406252
45,P,0.267536,-0.898974,-1.480414,-0.980635,1.288143
46,P,-1.441712,0.608374,-0.973799,-1.362878,1.424556
47,P,-1.125975,-0.399057,1.303674,-0.15658,0.810916
48,N,0.603554,0.964275,1.566985,-0.085623,1.146102
49,P,-1.3284,-1.360227,0.284748,-0.186029,-1.233813
50,P,-1.718057,1.612704,-0.247061,0.301683,0.848032
51,N,-0.014216,0.81701,1.655063,-0.275695,0.882552
52,P,-0.168154,0.075231,-0.560401,-0.038957,-1.554937
53,P,0.563691,-1.126937,0.640518,-1.592014,-1.205701
54,N,1.459516,-0.49775,1.059289,0.532667,-0.404017
55,P,-1.684777,0.445937,1.348615,0.998786,0.151354
56,P,0.144294,-1.243456,0.877815,-0.683746,0.155836
57,P,-1.740211,-1.173833,-0.296868,-0.738468,-0.93516
58,N,0.600845,0.760472,0.21667,-0.993607,0.824356
59,P,0.945661,-1.227391,1.583741,-0.946908,-1.257242
60,P,-0.738629,-0.212817,-0.148315,-0.600375,0.930289
61,P,-0.795572,1.444783,-0.146336,-1.073318,-1.592755
62,P,-0.096219,-1.279643,-0.557297,0.883935,0.496937
63,P,-1.655444,0.964094,-1.209816,-0.941659,0.057761
64,P,1.333036,-1.289118,0.946485,0.20577,-1.098997
65,N,0.535563,0.511665,1.240481,0.091242,-0.655096
66,N,1.412051,-0.50289,1.603613,-1.551083,-1.181538
67,N,0.680671,0.884609,1.03328,0.792064,-0.320619
68,P,1.725184,1.659557,-1.39952,-1.107178,-0.577999
69,N,1.115797,-0.662451,0.373994,0.27854,0.692713
70,P,-0.379498,-1.472316,0.257219,0.790422,0.980739
71,P,-1.161733,0.478213,-0.610669,-1.707522,-1.595375
72,P,1.578825,-1.12468,-0.77701,-1.389342,-1.001847
73,P,-0.412548,-0.460976,-1.057912,-1.465556,-0.399957
74,P,-1.584067,1.262789,-0.534428,-0.713181,-1.353672
75,P,-0.811455,-1.396038,-0.787018,1.319733,-0.160325
76,N,1.038453,1.426863,0.0125,0.94993,1.76579
77,N,1.169686,-0.999249,-1.101873,1.293154,0.784985
78,N,-0.164834,1.680743,1.620897,0.050023,-0.858796
79,N,-0.813863,0.574267,-0.923747,1.505278,0.032805
80,P,0.264805,1.141403,-0.596008,-0.973864,-1.135321
81,P,-0.053858,1.572006,-0.266928,-1.0437,-0.78421
82,N,-0.660525,-0.456403,-1.474896,1.31072,0.735534
83,N,0.774833,-0.21,-0.662345,0.668115,-0.142126
84,P,0.121794,-1.526864,-1.330022,1.326533,-1.669727
85,N,-0.809807,-0.016948,-0.581531,0.094982,1.600641
86,P,-1.145643,0.787945,0.777743,-1.474473,1.770485
87,N,0.600824,0.246558,-1.458003,0.451651,0.229785
88,P,-0.885328,-1.645571,-0.286316,-0.312345,1.567621
89,P,-0.418848,-1.509317,0.567423,-1.002072,-1.426333
90,P,-0.662131,-1.421886,1.545865,1.617665,-1.156197
91,P,1.739231,1.476727,0.392368,0.013334,-0.98915
92,N,-1.361441,0.794414,1.255566,1.618676,1.649087
93,N,1.543294,-0.575134,1.503583,-1.449128,-1.085378
94,P,-0.491489,0.88243,0.785067,-1.657906,-0.57799
95,P,1.104422,0.219408,-0.128207,-0.396702,-1.475859
96,N,0.129981,0.944468,-1.369695,1.572689,-0.346709
97,P,-0.952553,-0.197724,1.029051,-1.455857,0.462001
98,P,1.356765,-1.562568,-0.004823,-1.507056,0.337219
99,P,-0.771849,1.671079,0.154105,0.313264,-0.648891
100,N,1.09895,0.389911,-1.112367,-0.862399,0.116596
101,P,-0.497433,-0.322596,-0.294685,0.875607,-1.68833
102,N,0.962589,0.886415,-1.13288,0.499038,1.178991
103,P,-1.629561,0.521933,1.632844,0.593175,-1.063074
104,N,1.549709,0.70557,-0.660414,0.253086,-1.685415
105,P,-0.893503,-0.728933,1.246066,-0.275808,0.304748
106,P,-1.340445,1.5199,-0.705859,0.034627,-1.635552
107,N,-1.277312,1.361736,-1.651618,-0.975835,1.246379
108,N,-0.044417,0.259328,1.528561,1.316466,1.292067
109,P,1.58178,-0.817619,0.054418,-0.587086,-1.688431
110,N,-0.543838,0.273144,0.878252,1.691573,-0.150548
111,N,0.561465,0.310895,0.779387,0.450172,-0.472569
112,P,-0.352768,-0.597374,0.951568,-0.530805,-1.42596
113,P,-1.31827,1.243182,0.838881,1.534972,-1.514263
114,N,-1.555036,-0.911807,-1.429898,1.655851,-0.889698
115,N,0.271328,0.8261,-0.168363,-0.675751,-0.229472
116,P,-0.932903,0.773364,1.037414,0.304339,0.312054
117,N,0.765023,-0.595058,-1.046706,0.466408,1.775145
118,P,-0.29729,-1.279108,1.139214,0.11608,0.93218
119,P,-1.538758,-1.578494,-0.042475,1.597308,-1.310068
120,N,1.072424,0.59087,-1.288702,1.57017,1.571271
121,P,-0.442487,0.159489,-1.067057,-1.22515,1.234063
122,P,-0.474869,-1.477573,0.165032,-1.068796,-0.150973
123,P,1.728686,1.439615,1.290065,1.044173,-1.365557
124,P,-1.318119,0.421251,1.633467,-0.308515,-1.48448
125,N,-0.956874,1.57716,-1.270148,1.500091,-1.036541
126,N,1.414794,0.700809,-0.350362,-0.608722,1.459028
127,P,-1.537227,-1.656266,-0.152938,-1.132858,0.303963
128,N,0.758043,-0.503894,-1.605299,1.561072,0.627642
129,P,-1.710523,-0.590395,-1.326484,-0.458363,1.248933
130,N,-0.823065,-0.250856,0.687793,0.214182,1.386176
131,N,0.480898,-0.601543,1.397723,0.272428,-1.305529
132,P,1.029032,-1.135523,-1.185811,-0.946056,0.795618
133,N,-0.091686,1.061552,1.344885,1.163976,1.268473
134,P,-0.270437,-0.999511,0.461803,-1.303061,0.031804
135,P,-0.242348,1.553369,0.835559,-1.520832,-1.312882
136,P,-0.985515,1.091358,-1.041912,-1.429592,-1.313042
137,P,0.550546,-1.316903,-0.254239,-1.298874,0.10017
138,P,-0.877032,0.078578,0.037669,0.70879,-0.799717
139,N,1.380143,0.28579,1.727054,0.755767,0.120539
140,N,0.32717,0.687903,-0.58774,0.180553,1.149153
141,P,1.723836,-1.103763,0.146219,-0.862758,0.292895
142,P,0.328969,0.958285,-0.517608,-0.504082,-0.737021
143,P,-0.462521,0.171629,-0.70206,-0.327989,-0.929916
144,N,0.116883,0.913269,-1.68846,-0.387472,-1.619893
145,N,0.41923,0.904407,-1.187085,1.101597,0.782783
146,P,-1.102242,-1.083174,-1.274539,0.666364,-0.593527
147,P,-0.853597,-0.147822,0.177336,-0.742783,-0.547854
148,N,0.126532,1.58363,0.452046,0.148718,1.653733
149,P,-0.083393,-1.536088,1.165532,0.670672,-0.755692
150,P,-0.587302,-1.562007,-1.241856,-1.618368,-0.579379
151,N,1.100892,0.585331,1.313036,-0.803019,-0.081244
152,N,0.485807,0.518168,-1.133089,-0.326831,0.741871
153,P,-1.182835,0.805484,0.129348,1.321339,-1.704785
