,Application.accepted_cat,Age_num,Income.per.dependent_num,Monthly.credit.card.exp_num,Own.home_cat,Self.employed_cat,Derogatory.reports_cat
0,1,38,4.52,124.98,1,0,0
1,1,33,2.42,9.85,0,0,0
2,1,34,4.5,15.0,1,0,0
3,1,31,2.54,137.87,0,0,0
4,1,32,9.79,546.5,1,0,0
5,1,23,2.5,92.0,0,0,0
6,1,28,3.96,40.83,0,0,0
7,1,29,2.37,150.79,1,0,0
8,1,37,3.8,777.82,1,0,0
9,1,28,3.2,52.58,0,0,0
10,1,31,3.95,256.66,1,0,0
11,0,42,1.98,0.0,1,0,0
12,0,30,1.73,0.0,1,0,0
13,1,29,2.45,78.87,1,0,0
14,1,35,1.91,42.62,1,0,0
15,1,41,3.2,335.43,1,0,0
16,1,40,4.0,248.72,1,0,0
17,0,30,3.0,0.0,1,0,7
18,1,40,10.0,548.03,1,1,0
19,0,46,3.4,0.0,0,0,3
20,1,35,2.35,43.34,1,0,0
21,0,25,1.88,0.0,0,0,1
22,1,34,2.0,218.52,1,0,0
23,1,36,4.0,170.64,0,0,1
24,1,43,5.14,37.58,1,0,0
25,1,30,4.51,502.2,0,0,0
26,0,22,3.84,0.0,0,1,0
27,1,22,1.5,73.18,0,0,0
28,0,34,2.5,0.0,1,0,0
29,1,40,5.5,1532.77,1,0,0
30,1,22,2.03,42.69,0,0,0
31,1,29,3.2,417.83,0,0,1
32,0,25,3.15,0.0,1,0,1
33,1,21,2.47,552.72,1,0,0
34,1,24,3.0,222.54,0,0,0
35,1,43,3.54,541.3,1,0,0
36,0,43,2.28,0.0,0,0,0
37,1,37,5.7,568.77,1,0,0
38,1,27,3.5,344.47,0,0,0
39,1,28,4.6,405.35,1,0,0
40,1,26,3.0,310.94,1,0,0
41,1,23,2.59,53.65,0,0,0
42,1,30,1.51,63.92,0,0,0
43,1,30,1.85,165.85,0,0,0
44,1,38,2.6,9.58,0,0,0
45,0,28,1.8,0.0,0,1,0
46,1,36,2.0,319.49,0,0,0
47,0,38,3.26,0.0,0,0,0
48,1,26,2.35,83.08,0,0,0
49,1,28,7.0,644.83,1,0,0
50,0,50,3.6,0.0,0,0,0
51,1,24,2.0,93.2,0,0,0
52,1,21,1.7,105.04,0,0,0
53,1,24,2.8,34.13,0,0,0
54,1,26,2.4,41.19,0,0,0
55,1,33,3.0,169.89,0,0,1
56,1,34,4.8,1898.03,0,0,0
57,1,33,3.18,810.39,0,0,0
58,0,45,1.8,0.0,0,0,0
59,1,21,1.5,32.78,0,0,0
60,1,25,3.0,95.8,0,0,2
61,1,27,2.28,27.78,0,0,0
62,1,26,2.8,215.07,0,0,0
63,1,22,2.7,79.51,0,0,0
64,0,27,4.9,0.0,1,0,3
65,0,26,2.5,0.0,0,1,0
66,1,41,6.0,306.03,0,1,0
67,1,42,3.9,104.54,0,0,0
68,0,22,5.1,0.0,0,0,0
69,1,25,3.07,642.47,0,0,0
70,1,31,2.46,308.05,1,0,0
71,1,27,2.0,186.35,0,0,0
72,1,33,3.25,56.15,0,0,0
73,1,37,2.72,129.37,0,0,0
74,1,27,2.2,93.11,0,0,0
75,0,24,4.1,0.0,0,0,1
76,1,24,3.75,292.66,0,0,0
77,1,25,2.88,98.46,0,0,0
78,1,36,3.05,258.55,0,0,0
79,1,33,2.55,101.68,0,0,0
80,0,33,4.0,0.0,0,0,0
81,1,55,2.64,65.25,1,0,1
82,1,20,1.65,108.61,0,0,0
83,1,29,2.4,49.56,0,0,0
84,0,40,3.71,0.0,0,0,3
85,1,41,7.24,235.57,1,0,0
86,0,41,4.39,0.0,1,0,0
87,0,35,3.3,0.0,1,0,0
88,0,24,2.3,0.0,0,0,0
89,0,54,4.18,0.0,0,0,1
90,0,34,2.49,0.0,0,0,2
91,0,45,2.81,0.0,1,0,0
92,1,43,2.4,68.38,0,0,0
93,0,35,1.5,0.0,0,0,4
94,0,36,8.4,0.0,0,0,2
95,1,22,1.56,0.0,0,0,0
96,1,33,6.0,474.15,1,0,1
97,1,25,3.6,234.05,0,0,1
98,1,26,5.0,451.2,1,0,0
99,1,46,5.5,251.52,1,0,0
