,Bad_fatalities_num,Year_num,Length_num,Violence_time_num,Injuries_num,Fatal_injuries_num,Good/neutral_injuries_num,Good/neutral_fatalities_num,Bad_injuries_num
0,1,1937,5040,474,2,1,1,0,1
1,0,1940,7200,307,1,1,1,1,0
2,0,1940,5280,432,1,0,1,0,0
3,0,1941,3780,75,0,0,0,0,0
4,0,1942,4140,252,2,1,2,1,0
5,0,1945,4260,210,0,0,0,0,0
6,0,1947,4380,552,0,0,0,0,0
7,0,1949,4080,527,0,0,0,0,0
8,1,1950,4560,273,1,1,0,0,1
9,0,1951,4440,316,0,0,0,0,0
10,1,1953,4560,863,2,1,1,0,1
11,1,1955,4560,351,3,1,2,0,1
12,1,1959,4500,599,1,1,0,0,1
13,0,1961,4740,492,0,0,0,0,0
14,0,1963,4740,1012,0,0,0,0,0
15,0,1967,4680,676,3,0,3,0,0
16,0,1969,5100,109,0,0,0,0,0
17,0,1970,4740,354,0,0,0,0,0
18,0,1972,4800,500,1,0,1,0,0
19,0,1973,5640,164,0,0,0,0,0
20,0,1973,4980,814,0,0,0,0,0
21,0,1977,4980,65,0,0,0,0,0
22,0,1977,4560,675,0,0,0,0,0
23,0,1981,4980,717,3,1,2,1,1
24,2,1982,5100,743,5,3,3,1,2
25,1,1982,5200,522,4,3,3,2,1
26,0,1985,4680,471,0,0,0,0,0
27,0,1986,4860,701,0,0,0,0,0
28,2,1986,4380,798,2,2,0,0,2
29,1,1988,4140,484,3,2,1,1,2
30,3,1988,4440,293,6,3,2,0,4
31,1,1989,5340,554,5,3,3,2,2
32,0,1989,6180,35,0,0,0,0,0
33,1,1989,4980,517,2,1,1,0,1
34,1,1990,4440,494,1,1,0,0,1
35,3,1990,4440,1071,5,3,2,0,3
36,0,1990,4920,221,3,0,3,0,0
37,2,1990,4440,428,5,2,2,0,3
38,1,1990,4620,673,1,1,0,0,1
39,0,1991,4500,873,0,0,0,0,0
40,1,1991,5040,786,3,1,2,0,1
41,2,1991,4920,659,3,2,1,0,2
42,0,1992,5400,968,1,1,1,1,0
43,0,1992,4560,475,0,0,0,0,0
44,2,1992,5100,578,3,2,1,0,2
45,0,1992,5040,501,1,0,1,0,0
46,0,1993,5160,6,0,0,0,0,0
47,0,1993,4260,300,2,2,2,2,0
48,0,1993,4260,479,0,0,0,0,0
49,1,1994,5280,838,2,2,1,1,1
50,0,1994,4560,836,0,0,0,0,0
51,1,1994,5400,788,9,2,8,1,1
52,0,1994,5160,410,1,0,1,0,0
53,0,1994,4560,900,0,0,0,0,0
54,1,1995,4380,542,2,2,1,1,1
55,0,1995,4680,338,1,0,0,0,1
56,0,1995,4680,127,0,0,0,0,0
57,0,1995,5400,990,1,0,1,0,0
58,1,1995,4440,1026,1,1,0,0,1
59,0,1995,4860,323,3,1,3,1,0
60,0,1995,4860,246,0,0,0,0,0
61,0,1996,4920,800,0,0,0,0,0
62,1,1996,5400,1006,5,2,4,1,1
63,2,1997,5640,630,3,2,1,0,2
64,1,1997,4440,704,3,1,2,0,1
65,0,1997,4620,311,0,0,0,0,0
66,2,1997,5520,974,3,2,1,0,2
67,0,1997,4680,172,0,0,0,0,0
68,2,1997,4320,932,3,2,1,0,2
69,1,1998,5700,1098,3,1,2,0,1
70,2,1998,5280,986,5,2,3,0,2
71,1,1998,5160,1447,3,2,2,1,1
72,0,1998,4860,492,0,0,0,0,0
73,0,1999,5340,855,2,0,2,0,0
