,binaryClass_cat,zip_num,fire_num,theft_num,age_num,income_num,race_num,vol_num
0,P,26.0,6.2,29.0,60.4,11744.0,10.0,5.3
1,P,40.0,9.5,44.0,76.5,9323.0,22.2,3.1
2,N,13.0,10.5,36.0,73.5,9948.0,19.6,4.8
3,P,57.0,7.7,37.0,66.9,10656.0,17.3,5.7
4,N,14.0,8.6,53.0,81.4,9730.0,24.5,5.9
5,P,10.0,34.1,68.0,52.6,8231.0,54.0,4.0
6,P,11.0,11.0,75.0,42.6,21480.0,4.9,17.9
7,P,25.0,6.9,18.0,78.5,11104.0,7.1,6.9
8,P,18.0,7.3,31.0,90.1,10694.0,5.3,7.6
9,N,47.0,15.1,25.0,89.8,9631.0,21.5,3.1
10,N,22.0,29.1,34.0,82.7,7995.0,43.1,1.3
11,P,31.0,2.2,14.0,40.2,13722.0,1.1,14.3
12,P,46.0,5.7,11.0,27.9,16250.0,1.0,12.1
13,P,56.0,2.0,11.0,7.7,13686.0,1.7,10.9
14,P,30.0,2.5,22.0,63.8,12405.0,1.6,10.7
15,P,34.0,3.0,17.0,51.2,12198.0,1.5,13.8
16,P,41.0,5.4,27.0,85.1,11600.0,1.8,8.9
17,P,35.0,2.2,9.0,44.4,12765.0,1.0,11.5
18,P,39.0,7.2,29.0,84.2,11084.0,2.5,8.5
19,N,51.0,15.1,30.0,89.8,10510.0,13.4,5.2
20,N,44.0,16.5,40.0,72.7,9784.0,59.8,2.7
21,N,24.0,18.4,32.0,72.9,7342.0,94.4,1.2
22,N,12.0,36.2,41.0,63.1,6565.0,86.2,0.8
23,N,7.0,39.7,47.0,83.0,7459.0,50.2,5.2
24,N,23.0,18.5,22.0,78.3,8014.0,74.2,1.8
25,N,8.0,23.3,29.0,79.0,8177.0,55.5,2.1
26,P,16.0,12.2,46.0,48.0,8212.0,62.3,3.4
27,P,32.0,5.6,23.0,71.5,11230.0,4.4,8.0
28,N,9.0,21.8,4.0,73.1,8330.0,46.2,2.6
29,N,53.0,21.6,31.0,65.0,5583.0,99.7,0.5
30,P,15.0,9.0,39.0,75.4,8564.0,73.5,2.7
31,P,38.0,3.6,15.0,20.8,12102.0,10.7,9.1
32,P,29.0,5.0,32.0,61.8,11876.0,1.5,11.6
33,N,36.0,28.6,27.0,78.1,9742.0,48.8,4.0
34,N,21.0,17.4,32.0,68.6,7520.0,98.9,1.7
35,N,37.0,11.3,34.0,73.4,7388.0,90.6,1.9
36,P,52.0,3.4,17.0,2.0,13842.0,1.4,12.9
37,N,20.0,11.9,46.0,57.0,11040.0,71.2,4.8
38,N,19.0,10.5,42.0,55.9,10332.0,94.1,6.6
39,P,49.0,10.7,43.0,67.5,10908.0,66.1,3.1
40,N,17.0,10.8,34.0,58.0,11156.0,36.4,7.8
41,P,55.0,4.8,19.0,15.2,13323.0,1.0,13.0
42,P,43.0,10.4,25.0,40.8,12960.0,42.5,10.2
43,N,28.0,15.6,28.0,57.8,11260.0,35.1,7.5
44,P,27.0,7.0,3.0,11.4,10080.0,47.4,7.7
45,P,33.0,7.1,23.0,49.2,11428.0,34.0,11.6
46,P,45.0,4.9,27.0,46.6,13731.0,3.1,10.9
