,binaryClass_cat,MYCT_num,MMIN_num,MMAX_num,CACH_num,CHMIN_num,CHMAX_num
0,N,125.0,256.0,6000.0,256.0,16.0,128.0
1,N,29.0,8000.0,32000.0,32.0,8.0,32.0
2,N,29.0,8000.0,32000.0,32.0,8.0,32.0
3,N,29.0,8000.0,32000.0,32.0,8.0,32.0
4,N,29.0,8000.0,16000.0,32.0,8.0,16.0
5,N,26.0,8000.0,32000.0,64.0,8.0,32.0
6,N,23.0,16000.0,32000.0,64.0,16.0,32.0
7,N,23.0,16000.0,32000.0,64.0,16.0,32.0
8,N,23.0,16000.0,64000.0,64.0,16.0,32.0
9,N,23.0,32000.0,64000.0,128.0,32.0,64.0
10,P,400.0,1000.0,3000.0,0.0,1.0,2.0
11,P,400.0,512.0,3500.0,4.0,1.0,6.0
12,P,60.0,2000.0,8000.0,65.0,1.0,8.0
13,N,50.0,4000.0,16000.0,65.0,1.0,8.0
14,P,350.0,64.0,64.0,0.0,1.0,4.0
15,P,200.0,512.0,16000.0,0.0,4.0,32.0
16,P,167.0,524.0,2000.0,8.0,4.0,15.0
17,P,143.0,512.0,5000.0,0.0,7.0,32.0
18,P,143.0,1000.0,2000.0,0.0,5.0,16.0
19,N,110.0,5000.0,5000.0,142.0,8.0,64.0
20,P,143.0,1500.0,6300.0,0.0,5.0,32.0
21,P,143.0,3100.0,6200.0,0.0,5.0,20.0
22,P,143.0,2300.0,6200.0,0.0,6.0,64.0
23,P,110.0,3100.0,6200.0,0.0,6.0,64.0
24,P,320.0,128.0,6000.0,0.0,1.0,12.0
25,P,320.0,512.0,2000.0,4.0,1.0,3.0
26,P,320.0,256.0,6000.0,0.0,1.0,6.0
27,P,320.0,256.0,3000.0,4.0,1.0,3.0
28,P,320.0,512.0,5000.0,4.0,1.0,5.0
29,P,320.0,256.0,5000.0,4.0,1.0,6.0
30,N,25.0,1310.0,2620.0,131.0,12.0,24.0
31,N,25.0,1310.0,2620.0,131.0,12.0,24.0
32,P,50.0,2620.0,10480.0,30.0,12.0,24.0
33,P,50.0,2620.0,10480.0,30.0,12.0,24.0
34,N,56.0,5240.0,20970.0,30.0,12.0,24.0
35,N,64.0,5240.0,20970.0,30.0,12.0,24.0
36,P,50.0,500.0,2000.0,8.0,1.0,4.0
37,P,50.0,1000.0,4000.0,8.0,1.0,5.0
38,P,50.0,2000.0,8000.0,8.0,1.0,5.0
39,P,50.0,1000.0,4000.0,8.0,3.0,5.0
40,P,50.0,1000.0,8000.0,8.0,3.0,5.0
41,P,50.0,2000.0,16000.0,8.0,3.0,5.0
42,P,50.0,2000.0,16000.0,8.0,3.0,6.0
43,P,50.0,2000.0,16000.0,8.0,3.0,6.0
44,P,133.0,1000.0,12000.0,9.0,3.0,12.0
45,P,133.0,1000.0,8000.0,9.0,3.0,12.0
46,P,810.0,512.0,512.0,8.0,1.0,1.0
47,P,810.0,1000.0,5000.0,0.0,1.0,1.0
48,P,320.0,512.0,8000.0,4.0,1.0,5.0
49,P,200.0,512.0,8000.0,8.0,1.0,8.0
50,P,700.0,384.0,8000.0,0.0,1.0,1.0
51,P,700.0,256.0,2000.0,0.0,1.0,1.0
52,N,140.0,1000.0,16000.0,16.0,1.0,3.0
53,P,200.0,1000.0,8000.0,0.0,1.0,2.0
54,P,110.0,1000.0,4000.0,16.0,1.0,2.0
55,P,110.0,1000.0,12000.0,16.0,1.0,2.0
56,P,220.0,1000.0,8000.0,16.0,1.0,2.0
57,P,800.0,256.0,8000.0,0.0,1.0,4.0
58,P,800.0,256.0,8000.0,0.0,1.0,4.0
59,P,800.0,256.0,8000.0,0.0,1.0,4.0
60,P,800.0,256.0,8000.0,0.0,1.0,4.0
61,P,800.0,256.0,8000.0,0.0,1.0,4.0
62,P,125.0,512.0,1000.0,0.0,8.0,20.0
63,N,75.0,2000.0,8000.0,64.0,1.0,38.0
64,N,75.0,2000.0,16000.0,64.0,1.0,38.0
65,N,75.0,2000.0,16000.0,128.0,1.0,38.0
66,P,90.0,256.0,1000.0,0.0,3.0,10.0
67,P,105.0,256.0,2000.0,0.0,3.0,10.0
68,P,105.0,1000.0,4000.0,0.0,3.0,24.0
69,P,105.0,2000.0,4000.0,8.0,3.0,19.0
70,P,75.0,2000.0,8000.0,8.0,3.0,24.0
71,P,75.0,3000.0,8000.0,8.0,3.0,48.0
72,P,175.0,256.0,2000.0,0.0,3.0,24.0
73,P,300.0,768.0,3000.0,0.0,6.0,24.0
74,P,300.0,768.0,3000.0,6.0,6.0,24.0
75,P,300.0,768.0,12000.0,6.0,6.0,24.0
76,P,300.0,768.0,4500.0,0.0,1.0,24.0
77,P,300.0,384.0,12000.0,6.0,1.0,24.0
78,P,300.0,192.0,768.0,6.0,6.0,24.0
79,P,180.0,768.0,12000.0,6.0,1.0,31.0
80,P,330.0,1000.0,3000.0,0.0,2.0,4.0
81,P,300.0,1000.0,4000.0,8.0,3.0,64.0
82,P,300.0,1000.0,16000.0,8.0,2.0,112.0
83,P,330.0,1000.0,2000.0,0.0,1.0,2.0
84,P,330.0,1000.0,4000.0,0.0,3.0,6.0
85,P,140.0,2000.0,4000.0,0.0,3.0,6.0
