,MARR_cat,EDUCATION_num,SOUTH_cat,SEX_cat,EXPERIENCE_num,UNION_cat,WAGE_num,AGE_num,RACE_cat,OCCUPATION_cat,SECTOR_cat
0,Married,8,no,female,21,not_member,5.1,35,Hispanic,Other,Manufacturing
1,Married,9,no,female,42,not_member,4.95,57,White,Other,Manufacturing
2,Unmarried,12,no,male,1,not_member,6.67,19,White,Other,Manufacturing
3,Unmarried,12,no,male,4,not_member,4.0,22,White,Other,Other
4,Married,12,no,male,17,not_member,7.5,35,White,Other,Other
5,Unmarried,13,no,male,9,member,13.07,28,White,Other,Other
6,Unmarried,10,yes,male,27,not_member,4.45,43,White,Other,Other
7,Unmarried,12,no,male,9,not_member,19.47,27,White,Other,Other
8,Married,16,no,male,11,not_member,13.28,33,White,Other,Manufacturing
9,Unmarried,12,no,male,9,not_member,8.75,27,White,Other,Other
10,Married,12,no,male,17,member,11.35,35,White,Other,Other
11,Unmarried,12,no,male,19,member,11.5,37,White,Other,Manufacturing
12,Married,8,yes,male,27,not_member,6.5,41,White,Other,Other
13,Unmarried,9,yes,male,30,member,6.25,45,White,Other,Other
14,Married,9,yes,male,29,not_member,19.98,44,White,Other,Other
15,Married,12,no,male,37,not_member,7.3,55,White,Other,Construction
16,Married,7,yes,male,44,not_member,8.0,57,White,Other,Other
17,Married,12,no,male,26,member,22.2,44,White,Other,Manufacturing
18,Unmarried,11,no,male,16,not_member,3.65,33,White,Other,Other
19,Married,12,no,male,33,not_member,20.55,51,White,Other,Other
20,Married,12,no,female,16,member,5.71,34,White,Other,Manufacturing
21,Married,7,no,male,42,member,7.0,55,Other,Other,Manufacturing
22,Unmarried,12,no,male,9,not_member,3.75,27,White,Other,Other
23,Married,11,yes,male,14,not_member,4.5,31,Other,Other,Other
24,Married,12,no,male,23,not_member,9.56,41,White,Other,Other
25,Married,6,yes,male,45,not_member,5.75,57,White,Other,Manufacturing
26,Married,12,no,male,8,not_member,9.36,26,White,Other,Manufacturing
27,Married,10,no,male,30,not_member,6.5,46,White,Other,Other
28,Married,12,no,female,8,not_member,3.35,26,White,Other,Manufacturing
29,Married,12,no,male,8,not_member,4.75,26,White,Other,Other
30,Unmarried,14,no,male,13,not_member,8.9,33,White,Other,Other
31,Unmarried,12,yes,female,46,not_member,4.0,64,White,Other,Other
32,Married,8,no,male,19,not_member,4.7,33,White,Other,Other
33,Unmarried,17,yes,female,1,not_member,5.0,24,White,Other,Other
34,Unmarried,12,no,male,19,not_member,9.25,37,White,Other,Manufacturing
35,Unmarried,12,no,male,36,not_member,10.67,54,Other,Other,Other
36,Married,12,yes,male,20,not_member,7.61,38,Other,Other,Construction
37,Married,12,no,male,35,member,10.0,53,Other,Other,Construction
38,Unmarried,12,no,male,3,not_member,7.5,21,White,Other,Other
39,Married,14,yes,male,10,not_member,12.2,30,White,Other,Manufacturing
40,Unmarried,12,no,male,0,not_member,3.35,18,White,Other,Other
41,Married,14,yes,male,14,member,11.0,34,White,Other,Manufacturing
42,Married,12,no,male,14,not_member,12.0,32,White,Other,Manufacturing
43,Married,9,no,female,16,not_member,4.85,31,White,Other,Manufacturing
44,Unmarried,13,yes,male,8,not_member,4.3,27,White,Other,Construction
45,Married,7,yes,female,15,not_member,6.0,28,White,Other,Manufacturing
46,Married,16,no,male,12,not_member,15.0,34,White,Other,Manufacturing
47,Unmarried,10,yes,male,13,not_member,4.85,29,White,Other,Other
48,Married,8,no,male,33,member,9.0,47,White,Other,Other
49,Married,12,no,male,9,not_member,6.36,27,White,Other,Manufacturing
50,Married,12,no,male,7,not_member,9.15,25,White,Other,Other
51,Married,16,no,male,13,member,11.0,35,White,Other,Manufacturing
52,Married,12,no,female,7,not_member,4.5,25,White,Other,Manufacturing
53,Married,12,no,female,16,not_member,4.8,34,White,Other,Manufacturing
54,Unmarried,13,no,male,0,not_member,4.0,19,White,Other,Other
55,Unmarried,12,no,female,11,not_member,5.5,29,White,Other,Manufacturing
56,Unmarried,13,no,male,17,not_member,8.4,36,White,Other,Manufacturing
57,Married,10,no,male,13,not_member,6.75,29,White,Other,Manufacturing
58,Unmarried,12,no,male,22,member,10.0,40,Other,Other,Manufacturing
59,Married,12,no,female,28,not_member,5.0,46,White,Other,Manufacturing
60,Unmarried,11,no,male,17,not_member,6.5,34,White,Other,Other
61,Married,12,no,male,24,member,10.75,42,White,Other,Construction
62,Married,3,yes,male,55,not_member,7.0,64,Hispanic,Other,Manufacturing
63,Unmarried,12,yes,male,3,not_member,11.43,21,White,Other,Construction
